,,,,,,,,,,,,
20-29,7289,"267,568",2.724167314,1685,"166,861",1.009822547,10454,"95,983",10.89151204,7824,"70,507",11.09677053
30-39,10437,"260,449",4.007310452,2440,"175,986",1.386473924,17012,"109,169",15.58317837,11876,"72,491",16.38272337
40-49,7911,"175,807",4.499820826,3193,"135,028",2.36469473,18629,"103,332",18.02829714,14637,"78,381",18.67416848
50-59,8555,"180,444",4.741083106,4740,"154,808",3.061857268,22908,"112,814",20.30599039,20975,"98,631",21.26613337
60-69,8570,"162,728",5.26645691,9139,"166,603",5.485495459,28672,"108,373",26.45677429,31485,"85,195",36.95639415
70-79,5929,96651,6.134442479,7475,"94,691",7.894097644,24720,"62,027",39.85361214,26649,"52,613",50.6509798
80+,3958,54637,7.244175193,7154,"64,625",11.07001934,20007,"41,165",48.60196769,16306,"30,507",53.45002786
