,,,
,,,
Under 30,22259,"284,770",7.816483478
30-39,26050,"140,275",18.57066477
40-49,28738,"119,980",23.95232539
50-59,43597,"145,322",30.00027525
60-69,72538,"139,113",52.1432217
70-79,61346,"80,281",76.41409549
80+,34098,"45,664",74.67151367
