,
15-19,424
20-24,2262
25-29,5027
30-34,5589
35-39,4848
40-44,4174
45-49,3737
50-54,4083
55-59,4472
60-64,4503
65-69,4067
70-74,3221
75-79,2708
80-84,1851
85-89,1186
90-94,665
95-99,201
100-104,27
105+,28
